customer_id,name,location,device_type,signup_date,avg_session_time_min,wishlist_items_count
CUST1000,Customer 0,"mumbai, india",mobile,2023-10-01 18:55:54.642209,0.0,3.0
CUST1003,Customer 3,"New York, USA",mobile,2024-03-13 14:51:52.008310,0.0,1.0
CUST1005,Customer 5,"Berlin, Germany",desktop,2023-04-25 00:46:04.313202,0.0,0.0
CUST1006,Customer 6,"Sydney, Australia",desktop,2023-02-12 11:01:08.010764,0.0,2.0
CUST1007,Customer 7,"Berlin, Germany",,2024-09-25 04:11:39.485312,0.0,4.0
CUST1008,Customer 8,"sydney, australia",desktop,2024-03-15 09:57:42.357682,0.0,6.0
CUST1009,Customer 9,,desktop,2024-06-01 14:25:31.097474,0.0,3.0
CUST1010,Customer 10,"Berlin, Germany",mobile,2023-01-16 01:08:03.724532,0.0,2.0
CUST1011,Customer 11,"Berlin, Germany",mobile,2024-12-10 00:05:54.406788,0.0,4.0
CUST1014,Customer 14,"BERLIN, GERMANY",mobile,2023-05-13 21:56:14.008853,0.0,2.0
CUST1015,Customer 15,"Mumbai, India",mobile,2023-05-15 01:38:55.395127,0.0,6.0
CUST1016,customer 16,"Toronto, Canada",desktop,2023-08-11 09:37:33.277736,0.0,2.0
CUST1017,Customer 17,"London, UK",desktop,2024-01-19 14:19:36.611602,0.0,0.0
CUST1019,customer 19,"Berlin, Germany",desktop,2023-08-01 21:19:26.528284,0.0,3.0
CUST1021,CUSTOMER 21,"New York, USA",desktop,2023-04-12 23:16:49.048606,0.0,5.0
CUST1026,Customer 26,"Toronto, Canada",mobile,2023-05-26 23:04:36.603070,0.0,2.0
CUST1027,Customer 27,"LONDON, UK",desktop,2024-01-11 21:43:44.355102,0.0,5.0
CUST1028,Customer 28,"Berlin, Germany",desktop,2024-03-09 01:19:16.306016,0.0,4.0
CUST1031,Customer 31,"Tokyo, Japan",mobile,2023-05-05 15:40:30.813491,0.0,4.0
CUST1032,CUSTOMER 32,,mobile,2023-02-17 13:15:54.530401,0.0,4.0
CUST1033,Customer 33,"Mumbai, India",mobile,2024-11-24 15:14:52.316061,0.0,5.0
CUST1034,Customer 34,"new york, usa",mobile,2024-12-06 21:02:54.197736,0.0,1.0
CUST1035,CUSTOMER 35,"Toronto, Canada",desktop,2024-08-13 22:31:23.071279,0.0,2.0
CUST1038,nan,"New York, USA",mobile,2024-05-15 04:11:03.181665,0.0,1.0
cust1040,Customer 40,"Berlin, Germany",mobile,2023-03-31 05:02:19.651620,0.0,1.0
CUST1041,Customer 41,"Toronto, Canada",mobile,2023-12-28 23:23:01.359572,0.0,2.0
CUST1042,CUSTOMER 42,"São Paulo, Brazil",mobile,2023-01-26 03:18:43.972003,0.0,5.0
CUST1043,Customer 43,"New York, USA",desktop,2024-10-26 17:07:01.682652,0.0,4.0
cust1045,Customer 45,"london, uk",desktop,2024-04-29 07:17:27.444143,0.0,3.0
CUST1047,Customer 47,"New York, USA",mobile,2024-01-16 04:04:24.108757,0.0,3.0
CUST1048,customer 48,"BERLIN, GERMANY",desktop,2024-02-04 15:29:06.506875,0.0,2.0
CUST1050,customer 50,"TORONTO, CANADA",desktop,2024-12-09 18:23:33.754205,0.0,2.0
cust1052,CUSTOMER 52,"london, uk",mobile,2024-11-17 18:34:09.950888,0.0,2.0
CUST1053,Customer 53,"São Paulo, Brazil",desktop,2024-10-16 02:51:03.729250,0.0,1.0
CUST1056,customer 56,"Tokyo, Japan",desktop,2023-03-06 16:30:44.841596,0.0,6.0
CUST1057,CUSTOMER 57,"São Paulo, Brazil",desktop,2023-05-24 06:19:24.017813,0.0,5.0
