customer_id,name,location,device_type,signup_date,avg_session_time_min,wishlist_items_count,total_orders,total_quantity,total_spend,avg_order_value,monetary_value,recency_days,orders_per_active_day,top_product_id
CUST1001,Customer 1,"Toronto, Canada",mobile,2024-06-15 18:20:52,0.0,6.0,5.0,17.0,4556.0,911.2,4556.0,16.0,0.022321428571428572,SKU10130
CUST1002,Customer 2,"Berlin, Germany",mobile,2025-06-10 10:02:37,0.0,5.0,11.0,37.0,7829.7,711.790909090909,7829.7,12.0,0.031161473087818695,SKU10001
CUST1003,Customer 3,"Los Angeles, USA",desktop,2025-07-20 12:58:14,0.0,9.0,12.0,34.0,7668.19,639.0158333333333,7668.19,40.0,0.045283018867924525,SKU10090
CUST1004,Customer 4,"Dubai, UAE",tablet,2024-03-30 10:45:32,0.0,4.0,7.0,23.0,6011.4,858.7714285714285,6011.4,19.0,0.026515151515151516,SKU10082
CUST1005,Customer 5,"London, UK",desktop,2025-09-16 15:36:04,0.0,9.0,11.0,36.0,6634.29,603.1172727272727,6634.29,23.0,0.03806228373702422,SKU10090
CUST1006,Customer 6,"New York, USA",mobile,2024-04-05 08:14:32,0.0,4.0,10.0,34.0,6647.96,664.796,6647.96,13.0,0.029069767441860465,SKU10001
CUST1008,Customer 8,"Berlin, Germany",mobile,2025-04-02 22:30:32,0.0,1.0,7.0,19.0,4039.79,577.1128571428571,4039.79,94.0,0.06306306306306306,SKU10150
CUST1009,Customer 9,"Dubai, UAE",tablet,2025-09-28 18:39:07,0.0,8.0,6.0,23.0,3417.23,569.5383333333333,3417.23,254.0,0.05084745762711865,SKU10012
CUST1010,Customer 10,"Toronto, Canada",desktop,2024-12-02 01:03:45,0.0,3.0,7.0,16.0,2336.62,333.80285714285714,2336.62,147.0,0.0374331550802139,SKU10158
CUST1011,,"Sydney, Australia",mobile,2024-08-18 20:43:40,0.0,9.0,4.0,7.0,2002.38,500.595,2002.38,0.0,0.012345679012345678,SKU10058
CUST1012,Customer 12,"Tokyo, Japan",desktop,2025-07-07 13:17:35,0.0,5.0,9.0,24.0,6387.96,709.7733333333333,6387.96,86.0,0.036885245901639344,SKU10017
CUST1013,Customer 13,"Chicago, USA",mobile,2025-04-18 10:48:26,0.0,0.0,3.0,11.0,2831.45,943.8166666666666,2831.45,226.0,0.23076923076923078,SKU10026
CUST1014,Customer 14,"Houston, USA",mobile,2024-09-08 23:44:35,0.0,8.0,18.0,46.0,9144.77,508.0427777777778,9144.77,1.0,0.04904632152588556,SKU10087
CUST1015,Customer 15,"Sydney, Australia",mobile,2026-01-30 02:37:05,0.0,1.0,10.0,36.0,3883.09,388.309,3883.09,10.0,0.028985507246376812,SKU10054
CUST1016,Customer 16,"Dubai, UAE",mobile,2025-05-14 08:26:24,0.0,10.0,6.0,18.0,3678.91,613.1516666666666,3678.91,70.0,0.024,SKU10177
CUST1017,Customer 17,"Delhi, India",mobile,2024-05-03 15:47:08,0.0,5.0,11.0,33.0,7373.78,670.3436363636364,7373.78,1.0,0.03133903133903134,SKU10170
CUST1018,Customer 18,"Sydney, Australia",tablet,2025-04-21 18:32:09,0.0,2.0,2.0,2.0,153.69,76.845,153.69,45.0,0.058823529411764705,SKU10133
CUST1019,Customer 19,"Houston, USA",tablet,2024-08-29 01:14:21,0.0,6.0,8.0,26.0,5165.78,645.7225,5165.78,138.0,0.03619909502262444,SKU10008
CUST1020,Customer 20,"Chicago, USA",desktop,2026-01-01 22:17:46,0.0,5.0,2.0,7.0,1236.13,618.065,1236.13,47.0,0.006779661016949152,SKU10127
CUST1021,Customer 21,,desktop,2024-05-05 20:12:43,0.0,9.0,7.0,25.0,3026.31,432.33,3026.31,33.0,0.03167420814479638,SKU10042
CUST1022,Customer 22,,tablet,2024-12-31 18:53:22,0.0,4.0,8.0,17.0,2991.6,373.95,2991.6,80.0,0.02768166089965398,SKU10028
CUST1025,Customer 25,,tablet,2025-09-10 11:22:42,0.0,10.0,6.0,14.0,3509.42,584.9033333333333,3509.42,1.0,0.02040816326530612,SKU10095
CUST1026,Customer 26,"Berlin, Germany",desktop,2024-07-14 00:09:30,0.0,2.0,7.0,15.0,1447.0700000000002,206.72428571428574,1447.0700000000002,59.0,0.023255813953488372,SKU10099
CUST1027,CUSTOMER 27,"Paris, France",desktop,2025-02-17 12:49:47,0.0,10.0,5.0,13.0,2649.9100000000003,529.9820000000001,2649.9100000000003,98.0,0.029069767441860465,SKU10027
CUST1028,Customer 28,"Toronto, Canada",,2025-02-19 01:11:00,0.0,10.0,10.0,30.0,5252.86,525.286,5252.86,9.0,0.027777777777777776,SKU10073
CUST1029,Customer 29,"sydney, australia",mobile,2025-11-01 13:41:38,0.0,3.0,5.0,15.0,3535.6099999999997,707.122,3535.6099999999997,47.0,0.019083969465648856,SKU10057
CUST1030,Customer 30,"Berlin, Germany",desktop,2025-03-14 01:44:49,0.0,2.0,12.0,30.0,10552.43,879.3691666666667,10552.43,11.0,0.03680981595092025,SKU10107
CUST1031,Customer 31,"Toronto, Canada",mobile,2024-09-24 22:21:31,0.0,1.0,8.0,29.0,4839.05,604.88125,4839.05,48.0,0.026143790849673203,SKU10050
CUST1032,Customer 32,"Bangalore, India",mobile,2026-01-18 19:24:42,0.0,9.0,7.0,19.0,4785.29,683.6128571428571,4785.29,44.0,0.022950819672131147,SKU10127
CUST1033,Customer 33,"Bangalore, India",tablet,2024-09-14 23:52:58,0.0,10.0,6.0,10.0,3156.16,526.0266666666666,3156.16,8.0,0.016713091922005572,SKU10190
CUST1034,Customer 34,"BERLIN, GERMANY",mobile,2025-12-20 07:16:49,0.0,3.0,7.0,26.0,7157.879999999999,1022.5542857142856,7157.879999999999,24.0,0.03167420814479638,SKU10061
CUST1035,Customer 35,"Bangalore, India",mobile,2024-11-13 19:44:01,0.0,0.0,11.0,33.0,7490.45,680.9499999999999,7490.45,129.0,0.048034934497816595,SKU10176
CUST1036,customer 36,"Tokyo, Japan",desktop,2024-06-25 07:48:58,0.0,2.0,7.0,22.0,4121.4400000000005,588.777142857143,4121.4400000000005,60.0,0.023972602739726026,SKU10002
CUST1038,Customer 38,"Tokyo, Japan",desktop,2025-01-17 17:27:42,0.0,2.0,6.0,16.0,4356.46,726.0766666666667,4356.46,36.0,0.01812688821752266,SKU10135
CUST1039,Customer 39,"Berlin, Germany",tablet,2024-08-24 16:21:41,0.0,3.0,4.0,14.0,3483.04,870.76,3483.04,28.0,0.013559322033898305,SKU10093
CUST1040,Customer 40,"Delhi, India",desktop,2025-08-13 15:00:44,0.0,3.0,10.0,30.0,5026.25,502.625,5026.25,30.0,0.032362459546925564,SKU10112
CUST1041,Customer 41,"Tokyo, Japan",mobile,2025-08-06 07:50:50,0.0,8.0,12.0,42.0,7660.98,638.415,7660.98,35.0,0.03785488958990536,SKU10020
CUST1042,Customer 42,"Mumbai, India",tablet,2025-04-07 05:13:41,0.0,7.0,5.0,14.0,2777.16,555.432,2777.16,206.0,0.0364963503649635,SKU10167
CUST1043,Customer 43,"São Paulo, Brazil",mobile,2024-05-24 07:40:38,0.0,2.0,8.0,26.0,7185.68,898.21,7185.68,41.0,0.024615384615384615,SKU10178
CUST1044,CUSTOMER 44,"Delhi, India",desktop,2025-03-03 22:49:13,0.0,2.0,4.0,8.0,2027.45,506.8625,2027.45,34.0,0.0163265306122449,SKU10154
CUST1045,Customer 45,"Bangalore, India",mobile,2026-01-21 15:44:56,0.0,4.0,6.0,16.0,2982.3900000000003,497.06500000000005,2982.3900000000003,80.0,0.02459016393442623,SKU10177
CUST1047,Customer 47,"Houston, USA",tablet,2024-07-18 15:37:02,0.0,4.0,4.0,12.0,2165.9700000000003,541.4925000000001,2165.9700000000003,34.0,0.016877637130801686,SKU10122
CUST1048,Customer 48,"Paris, France",desktop,2024-09-14 11:02:12,0.0,0.0,4.0,11.0,2843.47,710.8675,2843.47,115.0,0.015625,SKU10120
CUST1049,customer 49,"São Paulo, Brazil",tablet,2025-09-30 17:22:58,0.0,4.0,11.0,32.0,6661.43,605.5845454545455,6661.43,24.0,0.031791907514450865,SKU10027
CUST1050,Customer 50,"Delhi, India",mobile,2025-08-07 19:00:52,0.0,5.0,8.0,19.0,4986.08,623.26,4986.08,42.0,0.02768166089965398,SKU10083
CUST1051,Customer 51,"São Paulo, Brazil",tablet,2024-03-29 02:26:14,0.0,10.0,11.0,36.0,7925.88,720.5345454545454,7925.88,10.0,0.034161490683229816,SKU10035
CUST1052,Customer 52,"Dubai, UAE",tablet,2024-06-18 00:22:58,0.0,3.0,10.0,33.0,8607.619999999999,860.762,8607.619999999999,7.0,0.03205128205128205,SKU10006
CUST1053,Customer 53,"London, UK",tablet,2025-02-16 18:48:53,0.0,9.0,3.0,8.0,2047.7,682.5666666666667,2047.7,248.0,0.0967741935483871,SKU10150
CUST1054,Customer 54,"Bangalore, India",desktop,2024-10-04 21:29:03,0.0,2.0,4.0,12.0,3053.15,763.2875,3053.15,11.0,0.0182648401826484,SKU10164
CUST1055,Customer 55,"Dubai, UAE",tablet,2025-12-11 21:14:18,0.0,6.0,11.0,35.0,7655.89,695.99,7655.89,113.0,0.043478260869565216,SKU10090
CUST1056,Customer 56,"New York, USA",desktop,2025-01-22 23:54:09,0.0,2.0,6.0,20.0,2893.23,482.205,2893.23,27.0,0.01935483870967742,SKU10144
CUST1057,Customer 57,"Delhi, India",mobile,2025-12-14 11:17:57,0.0,7.0,8.0,17.0,4072.4,509.05,4072.4,74.0,0.03669724770642202,SKU10112
CUST1058,Customer 58,"Houston, USA",mobile,2024-05-04 01:35:26,0.0,0.0,9.0,14.0,3074.67,341.63,3074.67,39.0,0.03461538461538462,SKU10059
CUST1059,Customer 59,"Bangalore, India",mobile,2024-12-09 03:08:33,0.0,2.0,7.0,20.0,3877.7400000000002,553.9628571428572,3877.7400000000002,2.0,0.0196078431372549,SKU10140
CUST1060,Customer 60,"London, UK",mobile,2025-05-17 09:07:49,0.0,7.0,9.0,31.0,6464.5,718.2777777777778,6464.5,51.0,0.0297029702970297,SKU10065
CUST1061,Customer 61,"Paris, France",tablet,2025-07-11 06:17:35,0.0,0.0,3.0,6.0,1183.08,394.35999999999996,1183.08,41.0,0.01,SKU10028
CUST1062,Customer 62,"Houston, USA",tablet,2025-09-24 20:58:55,0.0,10.0,7.0,23.0,5148.78,735.54,5148.78,116.0,0.028688524590163935,SKU10093
CUST1064,Customer 64,"Toronto, Canada",mobile,2025-09-23 18:24:09,0.0,6.0,9.0,13.0,3891.28,432.3644444444445,3891.28,21.0,0.03461538461538462,SKU10068
CUST1065,,"Berlin, Germany",tablet,2025-11-15 18:58:10,0.0,5.0,7.0,24.0,5200.76,742.9657142857143,5200.76,36.0,0.0219435736677116,SKU10052
CUST1067,Customer 67,"Sydney, Australia",tablet,2025-01-03 06:00:29,0.0,5.0,3.0,8.0,1895.92,631.9733333333334,1895.92,120.0,0.015625,SKU10030
CUST1068,Customer 68,"Los Angeles, USA",tablet,2024-07-12 10:17:16,0.0,1.0,8.0,27.0,5941.94,742.7425,5941.94,7.0,0.025806451612903226,SKU10000
CUST1069,customer 69,"Chicago, USA",tablet,2025-12-22 12:17:52,0.0,5.0,9.0,23.0,4528.43,503.1588888888889,4528.43,10.0,0.02694610778443114,SKU10003
CUST1071,Customer 71,"Los Angeles, USA",tablet,2025-03-27 00:33:18,0.0,7.0,7.0,23.0,3469.54,495.6485714285714,3469.54,11.0,0.020527859237536656,SKU10054
CUST1072,Customer 72,"Dubai, UAE",mobile,2025-05-15 15:59:19,0.0,8.0,15.0,43.0,8561.23,570.7486666666666,8561.23,34.0,0.046153846153846156,SKU10091
CUST1073,Customer 73,"Tokyo, Japan",tablet,2026-01-05 19:12:59,0.0,6.0,8.0,24.0,3874.03,484.25375,3874.03,16.0,0.024024024024024024,sku10114
CUST1074,Customer 74,"Tokyo, Japan",mobile,2025-09-11 20:09:20,0.0,8.0,9.0,27.0,4362.7699999999995,484.75222222222214,4362.7699999999995,126.0,0.04205607476635514,SKU10085
CUST1075,Customer 75,"Bangalore, India",desktop,2025-05-09 21:10:55,0.0,1.0,13.0,36.0,8688.470000000001,668.3438461538462,8688.470000000001,101.0,0.04868913857677903,SKU10069
