period_start,revenue,orders,unique_customers,avg_order_value,revenue_per_customer
2024-01-31T00:00:00,25749.27,56,54,459.80839285714285,476.83833333333337
2024-02-29T00:00:00,22776.94,51,47,446.6066666666666,484.61574468085104
2024-03-31T00:00:00,26222.48,60,57,437.04133333333334,460.0435087719298
2024-04-30T00:00:00,21061.64,47,44,448.12,478.6736363636364
2024-05-31T00:00:00,20118.48,54,52,372.56444444444446,386.89384615384614
2024-06-30T00:00:00,19743.07,50,49,394.8614,402.91979591836736
2024-07-31T00:00:00,26656.52,63,60,423.1193650793651,444.2753333333333
2024-08-31T00:00:00,21680.09,52,50,416.9248076923077,433.6018
2024-09-30T00:00:00,21521.22,51,48,421.98470588235296,448.35875000000004
2024-10-31T00:00:00,26244.54,56,55,468.65250000000003,477.17345454545455
2024-11-30T00:00:00,19504.9,47,45,414.99787234042554,433.44222222222226
2024-12-31T00:00:00,30385.74,67,63,453.5185074626866,482.31333333333333
2025-01-31T00:00:00,21225.71,49,48,433.1777551020408,442.20229166666667
2025-02-28T00:00:00,25221.489999999998,56,52,450.38374999999996,485.0286538461538
2025-03-31T00:00:00,23473.36,62,58,378.6025806451613,404.7131034482759
2025-04-30T00:00:00,27177.47,60,60,452.9578333333333,452.9578333333333
2025-05-31T00:00:00,23254.16,61,57,381.215737704918,407.9677192982456
2025-06-30T00:00:00,20087.39,48,46,418.48729166666664,436.6823913043478
2025-07-31T00:00:00,19290.73,51,50,378.24960784313726,385.8146
2025-08-31T00:00:00,22281.760000000002,62,57,359.38322580645166,390.90807017543864
2025-09-30T00:00:00,17962.61,46,43,390.49152173913046,417.73511627906976
2025-10-31T00:00:00,25026.39,51,49,490.7135294117647,510.7426530612245
