period_start,revenue,orders,unique_customers,avg_order_value,revenue_per_customer
2024-01-07T00:00:00,5049.4,14,14,360.6714285714285,360.6714285714285
2024-01-14T00:00:00,6820.27,15,15,454.6846666666667,454.6846666666667
2024-01-21T00:00:00,7244.89,13,13,557.2992307692308,557.2992307692308
2024-01-28T00:00:00,6478.7300000000005,12,12,539.8941666666667,539.8941666666667
2024-02-04T00:00:00,2333.51,9,9,259.2788888888889,259.2788888888889
2024-02-11T00:00:00,8869.94,17,17,521.7611764705882,521.7611764705882
2024-02-18T00:00:00,4400.31,12,12,366.69250000000005,366.69250000000005
2024-02-25T00:00:00,4742.61,11,11,431.1463636363636,431.1463636363636
2024-03-03T00:00:00,7210.57,12,12,600.8808333333333,600.8808333333333
2024-03-10T00:00:00,5210.46,13,13,400.8046153846154,400.8046153846154
2024-03-17T00:00:00,4587.41,15,15,305.82733333333334,305.82733333333334
2024-03-24T00:00:00,8624.79,15,15,574.9860000000001,574.9860000000001
2024-03-31T00:00:00,3175.7999999999997,9,9,352.8666666666666,352.8666666666666
2024-04-07T00:00:00,4669.43,12,12,389.1191666666667,389.1191666666667
2024-04-14T00:00:00,4995.36,10,10,499.53599999999994,499.53599999999994
2024-04-21T00:00:00,3614.1,7,7,516.3,516.3
2024-04-28T00:00:00,6977.77,15,15,465.1846666666667,465.1846666666667
2024-05-05T00:00:00,3903.46,11,11,354.86,354.86
2024-05-12T00:00:00,4058.07,13,13,312.15923076923076,312.15923076923076
2024-05-19T00:00:00,5679.87,15,15,378.658,378.658
2024-05-26T00:00:00,4999.08,12,12,416.59,416.59
2024-06-02T00:00:00,2749.67,8,8,343.70875,343.70875
2024-06-09T00:00:00,4326.7300000000005,9,9,480.74777777777786,480.74777777777786
2024-06-16T00:00:00,3687.0299999999997,10,10,368.703,368.703
2024-06-23T00:00:00,6313.83,13,13,485.67923076923074,485.67923076923074
2024-06-30T00:00:00,4948.79,16,15,309.299375,329.9193333333333
2024-07-07T00:00:00,5846.54,13,13,449.7338461538462,449.7338461538462
2024-07-14T00:00:00,10915.39,20,20,545.7695,545.7695
2024-07-21T00:00:00,3863.41,12,12,321.9508333333333,321.9508333333333
2024-07-28T00:00:00,3932.1,11,11,357.46363636363634,357.46363636363634
2024-08-04T00:00:00,4604.42,12,12,383.70166666666665,383.70166666666665
2024-08-11T00:00:00,4817.25,8,8,602.15625,602.15625
2024-08-18T00:00:00,5526.28,14,14,394.7342857142857,394.7342857142857
2024-08-25T00:00:00,3140.5699999999997,9,9,348.9522222222222,348.9522222222222
2024-09-01T00:00:00,6444.51,17,17,379.0888235294118,379.0888235294118
2024-09-08T00:00:00,2875.0,6,6,479.1666666666667,479.1666666666667
2024-09-15T00:00:00,7995.15,18,18,444.17499999999995,444.17499999999995
2024-09-22T00:00:00,2823.79,11,11,256.7081818181818,256.7081818181818
2024-09-29T00:00:00,6439.43,13,13,495.34076923076924,495.34076923076924
2024-10-06T00:00:00,4496.07,14,14,321.1478571428571,321.1478571428571
2024-10-13T00:00:00,4321.59,9,9,480.1766666666667,480.1766666666667
2024-10-20T00:00:00,6998.68,12,12,583.2233333333334,583.2233333333334
2024-10-27T00:00:00,6375.47,16,16,398.466875,398.466875
2024-11-03T00:00:00,6110.03,11,11,555.4572727272727,555.4572727272727
2024-11-10T00:00:00,3975.4900000000002,8,8,496.93625000000003,496.93625000000003
2024-11-17T00:00:00,4236.52,10,10,423.65200000000004,423.65200000000004
2024-11-24T00:00:00,5147.35,14,13,367.66785714285714,395.95000000000005
2024-12-01T00:00:00,5459.95,14,14,389.99642857142857,389.99642857142857
2024-12-08T00:00:00,11339.58,20,20,566.979,566.979
2024-12-15T00:00:00,5906.4400000000005,15,14,393.7626666666667,421.8885714285715
2024-12-22T00:00:00,5084.93,13,13,391.14846153846156,391.14846153846156
2024-12-29T00:00:00,6868.93,15,15,457.9286666666667,457.9286666666667
2025-01-05T00:00:00,4443.58,9,9,493.7311111111111,493.7311111111111
2025-01-12T00:00:00,2646.83,10,10,264.683,264.683
2025-01-19T00:00:00,4773.31,9,9,530.3677777777779,530.3677777777779
2025-01-26T00:00:00,4431.34,12,11,369.27833333333336,402.84909090909093
2025-02-02T00:00:00,6599.68,13,13,507.66769230769233,507.66769230769233
2025-02-09T00:00:00,7374.07,15,14,491.6046666666667,526.7192857142857
2025-02-16T00:00:00,5178.96,14,13,369.92571428571426,398.38153846153847
2025-02-23T00:00:00,5742.76,11,11,522.069090909091,522.069090909091
2025-03-02T00:00:00,7629.42,18,17,423.8566666666667,448.7894117647059
2025-03-09T00:00:00,2302.15,9,9,255.79444444444445,255.79444444444445
2025-03-16T00:00:00,5716.08,11,11,519.6436363636363,519.6436363636363
2025-03-23T00:00:00,6493.98,17,17,381.99882352941177,381.99882352941177
2025-03-30T00:00:00,6473.570000000001,18,18,359.64277777777784,359.64277777777784
2025-04-06T00:00:00,4239.85,10,10,423.985,423.985
2025-04-13T00:00:00,8144.5,15,15,542.9666666666667,542.9666666666667
2025-04-20T00:00:00,5242.92,15,15,349.528,349.528
2025-04-27T00:00:00,5906.0199999999995,14,14,421.8585714285714,421.8585714285714
2025-05-04T00:00:00,9012.61,22,21,409.66409090909093,429.1719047619048
2025-05-11T00:00:00,4390.02,12,12,365.83500000000004,365.83500000000004
2025-05-18T00:00:00,6952.94,16,16,434.55875,434.55875
2025-05-25T00:00:00,3072.4300000000003,9,9,341.3811111111111,341.3811111111111
2025-06-01T00:00:00,4033.31,10,10,403.331,403.331
2025-06-08T00:00:00,4208.7,10,10,420.87,420.87
2025-06-15T00:00:00,3317.79,8,8,414.72375,414.72375
2025-06-22T00:00:00,8461.93,16,15,528.870625,564.1286666666667
2025-06-29T00:00:00,3979.02,13,13,306.0784615384615,306.0784615384615
2025-07-06T00:00:00,4127.9400000000005,12,12,343.99500000000006,343.99500000000006
2025-07-13T00:00:00,1790.1299999999999,6,6,298.35499999999996,298.35499999999996
2025-07-20T00:00:00,2615.5,7,7,373.64285714285717,373.64285714285717
2025-07-27T00:00:00,8161.78,19,19,429.5673684210526,429.5673684210526
2025-08-03T00:00:00,5476.18,12,12,456.34833333333336,456.34833333333336
2025-08-10T00:00:00,5874.33,14,14,419.59499999999997,419.59499999999997
2025-08-17T00:00:00,3903.86,15,14,260.25733333333335,278.84714285714284
2025-08-24T00:00:00,3449.2799999999997,12,12,287.44,287.44
2025-08-31T00:00:00,6293.44,17,16,370.20235294117646,393.34
2025-09-07T00:00:00,4670.15,12,12,389.1791666666666,389.1791666666666
2025-09-14T00:00:00,3969.06,10,10,396.906,396.906
2025-09-21T00:00:00,6285.29,13,12,483.4838461538462,523.7741666666667
2025-09-28T00:00:00,2789.44,10,10,278.944,278.944
2025-10-05T00:00:00,5215.74,10,9,521.574,579.5266666666666
2025-10-12T00:00:00,9304.57,13,13,715.7361538461538,715.7361538461538
2025-10-19T00:00:00,4934.17,12,12,411.18083333333334,411.18083333333334
2025-10-26T00:00:00,3342.12,7,7,477.44571428571425,477.44571428571425
2025-11-02T00:00:00,2478.46,10,10,247.846,247.846
