timestamp,store_id,transaction_id,product_id,quantity,price_per_unit,discount,promo_flag,payment_type,customer_id
2025-03-15,CA02,ORD-1000,CC-30,1,37.13,5.0,False,visa,C0060
2025-02-22,CA01,ORD-1001,EE-50,4,21.07,0.0,False,debit,C0080
2025-03-03,CA02,ORD-1002,FF-60,2,24.25,2.0,True,amex,C0023
2025-01-08,NY01,ORD-1003,FF-60,5,30.92,0.0,True,visa,C0085
2025-03-24,CA01,ORD-1004,CC-30,5,13.11,0.0,False,debit,C0010
2025-03-06,NY01,ORD-1006,CC-30,4,11.37,0.0,True,paypal,C0093
2025-03-05,TX01,ORD-1007,BB-20,4,59.04,2.0,True,amex,C0028
2025-03-01,NY01,ORD-1008,FF-60,2,25.09,0.0,False,paypal,C0060
2025-03-27,NY01,ORD-1009,FF-60,4,28.53,5.0,True,cash,C0087
2025-03-08,CA01,ORD-1010,FF-60,5,41.03,2.0,True,debit,C0010
2025-03-25,CA01,ORD-1011,BB-20,1,51.87,5.0,True,visa,C0046
2025-01-14,CA01,ORD-1012,EE-50,1,36.33,5.0,True,mastercard,C0063
2025-02-01,NY01,ORD-1013,DD-40,5,25.53,0.0,False,amex,C0024
2025-02-25,CA01,ORD-1014,CC-30,3,28.27,0.0,True,mastercard,C0097
2025-01-31,TX01,ORD-1015,BB-20,2,35.35,0.0,False,mastercard,C0052
2025-01-19,CA02,ORD-1017,BB-20,2,41.39,0.0,True,cash,C0034
2025-03-16,TX01,ORD-1018,AA-10,5,11.56,0.0,True,debit,C0011
2025-01-16,TX01,ORD-1019,DD-40,2,15.12,0.0,True,amex,C0069
2025-01-08,NY01,ORD-1020,EE-50,4,35.86,5.0,False,cash,C0013
2025-03-09,CA01,ORD-1021,BB-20,2,36.77,0.0,True,paypal,C0063
2025-02-16,CA01,ORD-1022,EE-50,2,44.97,0.0,True,amex,C0099
2025-01-14,CA01,ORD-1023,FF-60,3,24.29,5.0,False,amex,C0061
2025-03-30,NY01,ORD-1025,DD-40,4,33.9,5.0,False,debit,C0075
2025-01-04,CA02,ORD-1026,BB-20,2,59.35,0.0,False,amex,C0021
2025-02-12,CA02,ORD-1027,EE-50,2,21.2,0.0,True,mastercard,C0036
2025-02-17,TX01,ORD-1028,EE-50,4,46.61,0.0,True,debit,C0045
2025-02-06,CA01,ORD-1029,BB-20,1,11.73,0.0,False,visa,C0081
2025-03-26,CA01,ORD-1030,CC-30,5,17.06,5.0,False,cash,C0054
2025-02-04,TX01,ORD-1031,EE-50,2,27.88,0.0,True,paypal,C0005
