customer_id,name,location,device_type,account_creation_date,avg_session_time_min,wishlist_items_count
CUST1000,Customer 0," mumbai, india ",mobile,2023-10-01 18:55:54.642209,7.8,3.0
CUST1001, Customer 1 ,"São Paulo, Brazil",desktop,nan,,4.0
 nan , Customer 2 ,"NEW YORK, USA",desktop,2024-06-19 02:06:06.174501,4.7,
CUST1003,Customer 3,"New York, USA",mobile,2024-03-13 14:51:52.008310,26.2,1.0
CUST1004,Customer 4,"New York, USA",mobile, nan ,9.2,3.0
CUST1005,Customer 5,"Berlin, Germany",desktop,2023-04-25 00:46:04.313202,4.7,0.0
CUST1006, Customer 6 ,"Sydney, Australia",desktop,2023-02-12 11:01:08.010764,5.8,2.0
CUST1007,Customer 7,"Berlin, Germany",nan,2024-09-25 04:11:39.485312,1.1,4.0
CUST1008,Customer 8," sydney, australia ",desktop,2024-03-15 09:57:42.357682,5.7,6.0
CUST1009,Customer 9,nan, desktop ,2024-06-01 14:25:31.097474,0.4,3.0
CUST1010, Customer 10 ,"Berlin, Germany",mobile,2023-01-16 01:08:03.724532,14.5,2.0
CUST1011, Customer 11 ,"Berlin, Germany", MOBILE ,2024-12-10 00:05:54.406788,11.4,4.0
 CUST1012 ,Customer 12,"Mumbai, India",NAN, 2024-08-31 12:22:25.284729 ,3.5,2.0
 CUST1013 , customer 13 ,"LONDON, UK",desktop, 2023-06-05 05:16:38.487863 ,8.0,
CUST1014,Customer 14,"BERLIN, GERMANY",mobile,2023-05-13 21:56:14.008853,8.3,2.0
CUST1015,Customer 15,"Mumbai, India",mobile,2023-05-15 01:38:55.395127,,6.0
CUST1016,customer 16,"Toronto, Canada",DESKTOP,2023-08-11 09:37:33.277736,7.0,2.0
CUST1017,Customer 17,"London, UK",desktop,2024-01-19 14:19:36.611602,8.5,0.0
nan, customer 18 ," Tokyo, Japan ",mobile,2023-11-12 18:02:36.265406,6.8,5.0
CUST1019,customer 19,"Berlin, Germany", desktop ,2023-08-01 21:19:26.528284,4.7,3.0
CUST1020,Customer 20," São Paulo, Brazil ",mobile, 2024-03-23 06:20:49.866034 ,3.4,2.0
 CUST1021 ,CUSTOMER 21,"New York, USA",desktop,2023-04-12 23:16:49.048606,6.6,5.0
CUST1022,Customer 22,nan,mobile, 2023-08-02 13:23:08.570047 ,5.2,4.0
cust1023, Customer 23 ," toronto, canada ",mobile,2023-09-25 19:27:07.843480,12.6,4.0
 CUST1024 ,CUSTOMER 24,"TOKYO, JAPAN",DESKTOP, 2023-11-30 09:17:30.491173 ,21.0,7.0
cust1025,CUSTOMER 25,"MUMBAI, INDIA",MOBILE,2024-07-27 23:07:37.440044,15.8,19.594182152941713
 CUST1026 , Customer 26 ,"Toronto, Canada",mobile,2023-05-26 23:04:36.603070,8.7,2.0
CUST1027, Customer 27 ,"LONDON, UK",desktop,2024-01-11 21:43:44.355102,,5.0
CUST1028,Customer 28," Berlin, Germany ",desktop,2024-03-09 01:19:16.306016,,4.0
nan,nan,"Berlin, Germany", desktop , 2023-02-03 22:55:33.746735 ,13.1,
cust1332,Customer 332,"São Paulo, Brazil",mobile,2023-01-11 12:31:09.712274,8.8,1.0
 CUST1031 ,Customer 31,"Tokyo, Japan",mobile,2023-05-05 15:40:30.813491,9.7,4.0
CUST1032, CUSTOMER 32 ,nan, mobile ,2023-02-17 13:15:54.530401,,4.0
CUST1033,Customer 33,"Mumbai, India",mobile,2024-11-24 15:14:52.316061,9.7,5.0
CUST1034,Customer 34,"new york, usa",MOBILE,2024-12-06 21:02:54.197736,4.8,1.0
CUST1035,CUSTOMER 35,"Toronto, Canada",desktop,2024-08-13 22:31:23.071279,5.6,2.0
CUST1380,Customer 380,"Mumbai, India",desktop,2023-03-28 09:05:01.448860,9.7,4.0
CUST1037, Customer 37 ,"São Paulo, Brazil",mobile, 2023-03-13 09:33:34.445261 ,5.2,4.0
CUST1038, nan ,"New York, USA",mobile,2024-05-15 04:11:03.181665,25.2,1.0
CUST1121, Customer 121 ,"LONDON, UK",mobile,2024-10-17 01:01:32.757088,,6.0
cust1040, Customer 40 ,"Berlin, Germany", mobile ,2023-03-31 05:02:19.651620,8.6,1.0
CUST1041,Customer 41,"Toronto, Canada",MOBILE,2023-12-28 23:23:01.359572,9.1,2.0
CUST1042,CUSTOMER 42," São Paulo, Brazil ", MOBILE ,2023-01-26 03:18:43.972003,6.8,5.0
CUST1043, Customer 43 ,"New York, USA",desktop,2024-10-26 17:07:01.682652,1.5,4.0
CUST1044, Customer 44 ,"Mumbai, India",nan, 2023-07-09 04:02:09.589886 ,5.6,3.0
cust1045,Customer 45,"london, uk",DESKTOP,2024-04-29 07:17:27.444143,23.2,3.0
nan,CUSTOMER 490,"New York, USA",desktop, 2023-11-30 02:02:31.455141 ,,1.0
CUST1047,Customer 47,"New York, USA", mobile ,2024-01-16 04:04:24.108757,17.1,
CUST1048, customer 48 ,"BERLIN, GERMANY",DESKTOP,2024-02-04 15:29:06.506875,17.4,2.0
