date,cashflow_proxy_forecast
2025-10-31,538.8768048049508
2025-11-01,463.3480040627342
2025-11-02,411.25771166976233
2025-11-03,409.29039943811244
2025-11-04,285.82955686612445
2025-11-05,428.1250729243582
2025-11-06,410.32002495392925
2025-11-07,499.24887129543515
2025-11-08,535.4702657928991
2025-11-09,578.1174134409878
2025-11-10,435.5953770292946
2025-11-11,381.1452953031593
2025-11-12,392.4838148267716
2025-11-13,464.2379483494987
2025-11-14,523.7440459276145
2025-11-15,514.2396782570803
2025-11-16,418.2100468059147
2025-11-17,357.2622744762342
2025-11-18,233.99008377500004
2025-11-19,456.3998033116392
2025-11-20,542.8138367104209
2025-11-21,596.682066623437
2025-11-22,537.440742904143
2025-11-23,537.440742904143
2025-11-24,424.7589502884839
2025-11-25,462.6582578306431
2025-11-26,434.2317900173079
2025-11-27,447.57358725680353
2025-11-28,447.57358725680353
2025-11-29,363.1741060458356
2025-11-30,275.61707896982443
2025-12-01,268.62780369364384
2025-12-02,386.08034163874936
2025-12-03,281.2837350077272
2025-12-04,403.28795513208024
2025-12-05,362.03013216972
2025-12-06,433.40238396303334
2025-12-07,492.6057267516657
2025-12-08,268.53497666029057
2025-12-09,380.36185558832636
2025-12-10,231.00344536631547
2025-12-11,607.0779088112496
2025-12-12,560.3653535092703
2025-12-13,440.27254115092836
2025-12-14,344.7803361000157
2025-12-15,270.24136990238236
2025-12-16,278.75862897832957
2025-12-17,296.1274135344687
2025-12-18,313.94821413120866
2025-12-19,303.941430849174
2025-12-20,326.0241695049947
2025-12-21,557.1417268894602
2025-12-22,396.6516005869343
2025-12-23,225.9431383612443
2025-12-24,559.2353627860895
2025-12-25,390.1314451749364
2025-12-26,358.1798509409466
2025-12-27,492.8454330803851
2025-12-28,541.9142142586504
2025-12-29,124.74326243568981
2025-12-30,349.08801660418527
2025-12-31,112.33510196992405
2026-01-01,361.94849460854493
2026-01-02,223.42646603056534
2026-01-03,375.80265536476577
2026-01-04,370.17905209763984
2026-01-05,240.78538525439419
2026-01-06,277.1846941982731
2026-01-07,499.12256743957727
2026-01-08,226.72177464665225
2026-01-09,402.2860175905465
2026-01-10,383.80862117703106
2026-01-11,409.35646411988824
2026-01-12,312.42736371911536
2026-01-13,329.378436891885
2026-01-14,245.2961136127961
2026-01-15,368.8197264351893
2026-01-16,245.54840079678732
2026-01-17,290.9947210907623
2026-01-18,349.7565240576421
2026-01-19,183.86272860748744
2026-01-20,356.52826209755403
2026-01-21,438.9319884578785
2026-01-22,263.03008367642326
2026-01-23,365.14720466025756
2026-01-24,311.1838982907104
2026-01-25,366.7721752488601
2026-01-26,437.47412698854845
2026-01-27,293.6319502286905
2026-01-28,536.6690477765238
