dataset,x,y,test,stat,p_value,n,effect_size,notes,p_adj,significant,alt_test,alt_p_value
products_features,cost_price,price,Pearson,0.7194959255679808,3.321440820496919e-21,125,0.7194959255679808,numeric-numeric,2.3294970078890552e-20,True,,
products_features,cost_price,price,Spearman,0.9454499092163109,9.283460558102857e-62,125,0.9454499092163109,numeric-numeric,9.832889856439555e-61,True,,
products_features,cost_price,discount_percent,Pearson,-0.08181845460240611,0.3763738608197001,119,-0.08181845460240611,numeric-numeric,0.5880393818981426,False,,
products_features,cost_price,discount_percent,Spearman,-0.06461430508157358,0.48508408607879894,119,-0.06461430508157358,numeric-numeric,0.6860429395570486,False,,
products_features,cost_price,average_rating,Pearson,0.06548449179437399,0.4792115510709893,119,0.06548449179437399,numeric-numeric,0.6829047970632165,False,,
products_features,cost_price,average_rating,Spearman,0.020239195411392834,0.8270586540411055,119,0.020239195411392834,numeric-numeric,0.9351708963994199,False,,
products_features,cost_price,stock_available,Pearson,-0.09567260219452906,0.2945157936525373,122,-0.09567260219452906,numeric-numeric,0.49149098683494175,False,,
products_features,cost_price,stock_available,Spearman,-0.22206617159109,0.013958611467490147,122,-0.22206617159109,numeric-numeric,0.03792942068914862,True,,
products_features,cost_price,times_purchased,Pearson,-0.20713164127839412,0.020463892742901436,125,-0.20713164127839412,numeric-numeric,0.05310380166782923,False,,
products_features,cost_price,times_purchased,Spearman,-0.2634247986102519,0.002995477347567483,125,-0.2634247986102519,numeric-numeric,0.00925388537730669,True,,
products_features,cost_price,total_quantity_sold,Pearson,-0.20898666351896947,0.019337627513112424,125,-0.20898666351896947,numeric-numeric,0.051205248363802795,False,,
products_features,cost_price,total_quantity_sold,Spearman,-0.25610951987365355,0.003940720443964604,125,-0.25610951987365355,numeric-numeric,0.012030787708338996,True,,
products_features,cost_price,total_revenue,Pearson,0.14059766020041817,0.11783717859007152,125,0.14059766020041817,numeric-numeric,0.2580485050137009,False,,
products_features,cost_price,total_revenue,Spearman,0.2064168005401639,0.020912748007198226,125,0.2064168005401639,numeric-numeric,0.053998588137989446,False,,
products_features,cost_price,avg_order_value_per_order,Pearson,0.41160549833220056,1.853422341140584e-06,125,0.41160549833220056,numeric-numeric,7.82053817115417e-06,True,,
products_features,cost_price,avg_order_value_per_order,Spearman,0.36336652432497857,3.113093814113483e-05,125,0.36336652432497857,numeric-numeric,0.00012240118860037106,True,,
products_features,cost_price,unique_customers,Pearson,-0.19900275923037042,0.026090062162752826,125,-0.19900275923037042,numeric-numeric,0.06637618756112117,False,,
products_features,cost_price,unique_customers,Spearman,-0.24379844641236287,0.006146999214676504,125,-0.24379844641236287,numeric-numeric,0.01792299209223093,True,,
products_features,cost_price,quantity_std,Pearson,-0.2541141259852983,0.004241261165521095,125,-0.2541141259852983,numeric-numeric,0.012723783496563284,True,,
